iter	Passed	Remaining
939	9115	8931
940	9125	8921
941	9138	8915
942	9152	8910
943	9175	8913
944	9189	8907
945	9201	8900
946	9211	8890
947	9224	8884
948	9237	8877
949	9252	8872
950	9261	8861
951	9272	8854
952	9282	8844
953	9294	8836
954	9312	8835
955	9334	8836
956	9351	8833
957	9382	8843
958	9398	8839
959	9412	8834
960	9422	8824
961	9437	8819
962	9451	8813
963	9471	8813
964	9487	8809
965	9516	8817
966	9529	8810
967	9545	8805
968	9555	8796
969	9568	8789
970	9579	8780
971	9592	8773
972	9603	8764
973	9616	8757
974	9628	8750
975	9640	8741
976	9654	8735
977	9669	8730
978	9681	8722
979	9693	8714
980	9705	8706
981	9713	8694
982	9726	8687
983	9734	8676
984	9747	8669
985	9759	8660
986	9772	8653
987	9780	8642
988	9796	8637
989	9806	8627
990	9817	8619
991	9826	8608
992	9833	8595
993	9843	8586
994	9853	8576
995	9864	8567
996	9875	8557
997	9890	8552
998	9901	8543
999	9913	8535
1000	9921	8524
1001	9931	8513
1002	9939	8502
1003	9951	8494
1004	9959	8482
1005	9969	8473
1006	9979	8462
1007	9990	8454
1008	9999	8443
1009	10015	8439
1010	10026	8429
1011	10038	8421
1012	10049	8412
1013	10061	8404
1014	10073	8396
1015	10086	8388
1016	10094	8377
1017	10108	8370
1018	10121	8363
1019	10148	8367
1020	10167	8364
1021	10178	8355
1022	10187	8345
1023	10201	8338
1024	10213	8330
1025	10231	8326
1026	10243	8318
1027	10254	8308
1028	10268	8302
1029	10290	8302
1030	10299	8291
1031	10313	8284
1032	10327	8277
1033	10341	8271
1034	10353	8262
1035	10368	8256
1036	10381	8248
1037	10398	8244
1038	10411	8237
1039	10426	8230
1040	10439	8223
1041	10455	8218
1042	10467	8209
1043	10485	8205
1044	10501	8200
1045	10528	8203
1046	10553	8205
1047	10574	8202
1048	10590	8198
1049	10606	8192
1050	10620	8185
1051	10638	8181
1052	10654	8175
1053	10670	8169
1054	10684	8162
1055	10699	8156
1056	10709	8145
1057	10724	8139
1058	10738	8132
1059	10751	8124
1060	10761	8114
1061	10774	8106
1062	10785	8096
1063	10800	8090
1064	10810	8079
1065	10823	8072
1066	10837	8065
1067	10851	8057
1068	10859	8045
1069	10869	8035
1070	10879	8024
1071	10890	8015
1072	10899	8004
1073	10911	7995
1074	10919	7984
1075	10936	7978
1076	10948	7969
1077	10961	7961
1078	10969	7950
1079	10981	7941
1080	10991	7930
1081	11000	7919
1082	11010	7909
1083	11019	7898
1084	11031	7889
1085	11045	7882
1086	11057	7873
1087	11071	7866
1088	11084	7857
1089	11094	7847
1090	11115	7845
1091	11135	7841
1092	11151	7835
1093	11162	7825
1094	11180	7820
1095	11193	7812
1096	11207	7805
1097	11219	7796
1098	11231	7787
1099	11242	7777
1100	11257	7770
1101	11268	7760
1102	11280	7752
1103	11289	7741
1104	11304	7733
1105	11313	7722
1106	11324	7713
1107	11334	7703
1108	11344	7692
1109	11355	7682
1110	11367	7673
1111	11376	7662
1112	11386	7652
1113	11396	7641
1114	11405	7630
1115	11415	7620
1116	11426	7610
1117	11439	7602
1118	11450	7593
1119	11460	7582
1120	11473	7573
1121	11482	7563
1122	11492	7552
1123	11501	7541
1124	11514	7532
1125	11522	7521
1126	11533	7511
1127	11540	7499
1128	11558	7494
1129	11570	7485
1130	11583	7476
1131	11592	7465
1132	11603	7455
1133	11613	7445
1134	11622	7434
1135	11634	7425
1136	11645	7415
1137	11655	7404
1138	11669	7397
1139	11682	7388
1140	11693	7378
1141	11702	7367
1142	11714	7358
1143	11721	7346
1144	11731	7336
1145	11741	7325
1146	11750	7314
1147	11760	7304
1148	11771	7294
1149	11780	7283
1150	11792	7274
1151	11801	7263
1152	11814	7254
1153	11824	7244
1154	11834	7233
1155	11846	7224
1156	11860	7217
1157	11870	7206
1158	11881	7196
1159	11890	7185
1160	11901	7175
1161	11911	7165
1162	11925	7157
1163	11937	7148
1164	11947	7137
1165	11960	7128
1166	11970	7118
1167	11982	7109
1168	11992	7099
1169	12004	7090
1170	12013	7078
1171	12024	7068
1172	12031	7057
1173	12043	7047
1174	12054	7038
1175	12064	7027
1176	12085	7023
1177	12104	7018
1178	12121	7011
1179	12137	7005
1180	12146	6993
1181	12160	6985
1182	12176	6978
1183	12186	6968
1184	12194	6956
1185	12203	6945
1186	12212	6934
1187	12220	6923
1188	12231	6913
1189	12240	6901
1190	12250	6891
1191	12257	6879
1192	12268	6869
